National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Drapes, curtains and other decorative materials including textiles and films used in buildings shall conform to ULC CAN/ULC-S109-14 Flame Tests of Flame-Resistant Fabrics and Films when such drapes, curtains and other decorative materials are used in any assembly occupancy or Group B, Division 1 detention occupancy, any lobby or exit, or any open floor areas exceeding 500 m2 in any business and personal services, mercantile or industrial occupancy, except where the floor area is divided into fire compartments not exceeding 500 m2 in area and separated from the remainder of the floor area by fire separations having at least a 1 hfire-resistance rating.",,"Combustible materials, such as artwork and teaching materials, that are attached to walls or ceilings in school classrooms shall not cover more than 20% of the area of each wall or ceiling.","Combustible materials, such as artwork and teaching materials, that are attached to walls or ceilings in school classrooms shall not cover more than 20% of the area of each wall or ceiling.",1.0
"Water-based fire protection systems shall be inspected, tested and maintained in conformance with NFPA 25-2017 Inspection, Testing, and Maintenance of Water-Based Fire Protection Systems (See Note A-6.4.1.1.(1).)",,All 2 1/2-inch fire-hose couplings and allied fittings shall have a 60° truncated vee thread having dimensions in inches for the male and female couplings as set out in Table 6.4.2.1.(1).,All 2 1/2-inch fire-hose couplings and allied fittings shall have a 60° truncated vee thread having dimensions in inches for the male and female couplings as set out in Table 6.4.2.1.(1).,1.0
