Full Index,National Full,National in PE,Similarity
13610,"Where noncombustible piping pierces a fire separation or a fire stop, the requirements of fire stopping of Subsection 3.1.9., Sentence 9.10.9.6.(1) and Article 9.10.16.4. of Division B of the NBC shall apply.","Where noncombustible piping pierces a fire separation or a fire stop, the requirements of fire stopping of Subsection 3.1.9., Sentances 9.10.9.6.(1) and Article 9.10.16.4. of Division B of the NBC shall apply.",0.96875
13663,"Requirements for combustible piping in relation to fire safety shall conform to Sentences 3.1.5.19.(1) and 9.10.9.6.(3) to (11), and Articles 3.1.9.5. and 9.10.9.7. of Division B of the NBC.","Requirements for combustible piping in relation to fire safety shall conform to Sentences 3.1.5.10.(1) and 9.10.9.6.(3) to (11), and Articles 3.1.9.5. and 9.10.9.7. of Division B of the NBC.",0.9655172413793104
