National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
,,The number of people occupying a room or floor area in an occupancy shall not exceed the occupant load for the intended use as determined in accordance with this Article.,The number of people occupying a room or floor area in an occupancy shall not exceed the occupant load for the intended use as determined in accordance with this Article.,0.0
The number of occupants permitted to enter a room shall not exceed the maximum occupant load calculated in conformance with Sentence 2.7.1.3.(1).,The number of occupants permitted to enter a room shall not exceed the maximum occupant load calculated in conformance with Sentence (1).,"The occupant load of a floor area or part of a floor area in an occupancy shall be based on the number of fixed seats, or the number of persons for which the area is designed, as determined under the Building Code.","The occupant load of a floor area or part of a floor area in an occupancy shall be based on a) the number of fixed seats, or b) the number of persons for which the area is designed, as determined under the Building Code.",1.0
